sitename,veg,gcc,rcc,gcc_lowess,rcc_lowess
missouriozarks,DB,0.31092,0.343,0.3213111844549857,0.348698974786035
dukehw,DB,0.30668,0.3903,0.3102281392082009,0.3925000493402251
bullshoals,DB,0.31923,0.36436,0.321754595687677,0.3678397360691808
morganmonroe,DB,0.31434,0.29241,0.3223120596647907,0.3101040446797999
turkeypointdbf,DB,0.30042,0.31358,0.3045002938230978,0.3654439062414671
umichbiological2,DB,0.31337,0.26376,0.3180672904741606,0.2937456889356447
laurentides,DB,0.31891,0.27738,0.3307593121912319,0.2956179908127115
worcester,DB,0.31377,0.33601,0.3183492762995064,0.3371254498711852
readingma,DB,0.30691,0.3618,0.3081884119729949,0.3795174573403835
harvardhemlock,DB,0.35034,0.28972,0.3609921297592056,0.2922478837791215
arbutuslake,DB,0.34011,0.23762,0.3416600318011916,0.2453205824558033
northattleboroma,DB,0.29191,0.37813,0.3049663540276983,0.3892828188710532
russellsage,DB,0.31484,0.36187,0.3212730812728463,0.3694603552377009
bostoncommon,DB,0.376,0.29807,0.376878601523878,0.3023912257222553
alligatorriver,DB,0.30801,0.37153,0.3152013107205071,0.3844534726130087
uwmfieldsta,DB,0.28242,0.36547,0.2985376500396168,0.3696463767305613
bartlettir,DB,0.3502,0.32161,0.3556431421306187,0.3262960313297051
harvardbarn,DB,0.26672,0.38994,0.2876257959148408,0.3935107397007658
hubbardbrook,DB,0.35281,0.29296,0.3539604721856915,0.2964766270567174
proctor,DB,0.31106,0.30839,0.311401218319068,0.3290370128553156
umichbiological,DB,0.31063,0.33108,0.3133752290188868,0.3449027294586201
caryinstitute,DB,0.3087,0.29187,0.3168116640115244,0.293687625025028
howland2,DB,0.2784,0.28801,0.3292930594413749,0.3652266510292521
harvard,DB,0.34409,0.28653,0.3635805989814983,0.2918965622650828
harvardbarn2,DB,0.29012,0.35516,0.2987728048484714,0.3586552579775239
springfieldma,DB,0.28192,0.33044,0.3042284933012401,0.3422174240783177
willowcreek,DB,0.29209,0.36454,0.3103888081363975,0.3682291331032073
downerwoods,DB,0.3292,0.31475,0.3342520325762757,0.3240006666094818
missouriozarks,EN,0.32193,0.36509,0.3245898407973328,0.4226394103270248
turkeypointenf39,EN,0.30432,0.36667,0.3063519973949731,0.3753305140399879
harvardbarn2,EN,0.32574,0.39011,0.3334086776251758,0.3941232783300944
usmpj,EN,0.3258,0.37788,0.328673223826132,0.4023768826921979
howland1,EN,0.34655,0.31374,0.3501253672656059,0.3463406011370221
canadaOBS,EN,0.3176,0.35561,0.3201645829372314,0.3675550521158733
oregonMP,EN,0.3265,0.36477,0.3326249336960158,0.3976712378271342
harvardhemlock,EN,0.36523,0.31184,0.3673554460944013,0.3135284066000984
umichbiological,EN,0.26913,0.30233,0.3083170651922825,0.4104954006651872
laurentides,EN,0.34129,0.30588,0.34426142804575,0.3146189821015969
turkeypointenf74,EN,0.3242,0.34905,0.3303955373940453,0.3940403378607188
windriver,EN,0.34919,0.30403,0.3624533106389164,0.3310388671008072
harvardbarn,EN,0.30481,0.40374,0.3133261653934915,0.4092618868345444
lethbridge,GR,0.3056,0.33293,0.3070331189657266,0.3551870921185251
bullshoals,GR,0.30374,0.35031,0.3139369449195928,0.386412781213173
vaira,GR,0.2929,0.42971,0.2958135717490878,0.4318954569900706
marena,GR,0.28736,0.40886,0.2936111863075074,0.4212183396666607
konza,GR,0.29301,0.31209,0.2996425581105677,0.3686991883649039
uwmfieldsta,GR,0.31327,0.32941,0.3144253398518005,0.3323951813167125
butte,GR,0.34702,0.26858,0.3496777395332557,0.2961669572568979
jasperridge,GR,0.3062,0.41922,0.3070193834162039,0.4229691195029677
kansas,GR,0.30381,0.29811,0.3080827343488401,0.3674609401572778
